RateBid,time
4.37374,0
4.37369,0.0002014128
4.37363,0.0004925353
4.3739,0.0007182565
4.37395,0.0007309895
4.37193,0.0009543956
4.37173,0.0009549744
4.37188,0.0009578683
4.3721,0.0016709158
4.37205,0.0020042887
4.3718,0.0038557815
4.37185,0.0057778846
4.3718,0.0060186539
4.37185,0.0064052738
4.3718,0.0071761292
4.37162,0.0081062164
4.37179,0.0081594634
4.37185,0.0082184982
4.37235,0.0082769542
4.37295,0.0082798481
4.37285,0.0082804268
4.37235,0.0082821632
4.37255,0.0082838995
4.3721,0.0082856358
4.3724,0.0082862146
4.37275,0.0082885297
4.37266,0.0082966325
4.3723,0.0083203622
4.37249,0.008323256
4.3725,0.0083238348
4.37275,0.0083255711
4.37263,0.0083429343
4.37225,0.008343513
4.3722,0.0083597187
4.37204,0.0083602974
4.37185,0.0083608762
4.37168,0.008361455
4.37125,0.0083626125
4.37185,0.0083660852
4.37186,0.0083666639
4.37187,0.008368979
4.37186,0.0083718729
4.37194,0.0083892361
4.37235,0.0083898148
4.37185,0.0084123869
4.37145,0.008414702
4.3719,0.0084170171
4.3718,0.0084181747
4.37192,0.0084204898
4.372,0.0084355379
4.3724,0.0084569524
4.3715,0.008498624
4.37153,0.0085067269
4.3717,0.0085073056
4.3719,0.0085078844
4.37195,0.0085101995
4.37212,0.0085107783
4.37206,0.0085136721
4.37195,0.0085142509
4.3717,0.0085246688
4.372,0.0085252476
4.37191,0.0085269839
4.37255,0.0085350867
4.37215,0.0085854399
4.37195,0.008587755
4.37165,0.0085900701
4.37177,0.0085941215
4.37245,0.0086271115
4.37195,0.0086421596
4.37185,0.0086433171
4.37131,0.0086438959
4.37176,0.008646211
4.37189,0.0086473685
4.37231,0.0086491048
4.37233,0.0086670468
4.3721,0.0086954066
4.3718,0.0086965642
4.37165,0.0086983005
4.37161,0.0087006156
4.37164,0.0087011944
4.37156,0.00875039
4.37166,0.0087509688
4.3719,0.0087538626
4.37146,0.008755599
4.37156,0.0088036371
4.37161,0.0088499389
4.37162,0.0088707747
4.37161,0.0088869803
4.37166,0.0088962407
4.37171,0.0089043435
4.3718,0.0089060798
4.37176,0.0089078161
4.37166,0.0089083949
4.37181,0.0089118675
4.37215,0.0089147614
4.37217,0.0089448575
4.37215,0.0089465939
4.37143,0.0089483302
4.37125,0.0089489089
4.37058,0.0089518028
4.37104,0.0089523816
4.37105,0.0089529604
4.37103,0.0089535391
4.37146,0.0089552754
4.37131,0.0089575905
4.37151,0.0089587481
4.37141,0.0089610632
4.37176,0.0089703235
4.37181,0.0089911593
4.37186,0.0090206767
4.37176,0.0090675573
4.37171,0.00910402
4.37186,0.0091045987
4.37171,0.0091103864
4.37166,0.0091109652
4.37172,0.009111544
4.37162,0.0091121228
4.37145,0.0091127015
4.37146,0.0091150166
4.3715,0.0091155954
4.37158,0.0091300647
4.37196,0.0091306435
4.37166,0.00913701
4.37167,0.0091491642
4.37171,0.009149743
4.37172,0.00917
4.37171,0.0091705788
4.37161,0.0091711575
4.37125,0.0091717363
4.37149,0.0091728938
4.37126,0.0091734726
4.37125,0.0091740514
4.372,0.0091763665
4.37166,0.0091769453
4.3717,0.009177524
4.37154,0.0091781028
4.3717,0.0091786816
4.37178,0.0091798391
4.37181,0.0091804179
4.37175,0.0091908358
4.37171,0.0091948872
4.37172,0.009195466
4.37171,0.0092012537
4.37172,0.0092018325
4.37171,0.00920299
4.37172,0.0092035688
4.37221,0.0092278772
4.37205,0.0092290348
4.37172,0.0092319286
4.37186,0.0092325074
4.37174,0.0092348225
4.37191,0.0092354013
4.37177,0.0092377164
4.37172,0.0092382951
4.37177,0.0092533432
4.37221,0.0092556583
4.37265,0.0092562371
4.37246,0.0092602885
4.37238,0.009261446
4.37246,0.0092631823
4.37224,0.0092660762
4.37225,0.009266655
4.37246,0.0092701276
4.37179,0.0092707064
4.3723,0.0092712851
4.37222,0.0092718639
4.37214,0.0092736002
4.3723,0.009274179
4.37222,0.0092747578
4.3723,0.0092759153
4.37222,0.0092764941
4.37246,0.0092770729
4.37236,0.0092776517
4.3723,0.0092799667
4.37246,0.0092840181
4.3723,0.0092863332
4.37222,0.0092880695
4.37214,0.0092898059
4.3723,0.0092903847
4.37246,0.009307169
4.3726,0.0093077478
4.37203,0.0093083266
4.372,0.0093089054
4.37201,0.0093100629
4.37181,0.0093106417
4.37203,0.0093135355
4.37241,0.0093332138
4.37186,0.0093355289
4.37244,0.0093361077
4.3727,0.0093401591
4.37253,0.0093418954
4.37241,0.0093436317
4.37211,0.009345368
4.37188,0.0093459468
4.37175,0.0093465256
4.37255,0.0093511557
4.37225,0.0093569435
4.37202,0.0093592585
4.37207,0.0093598373
4.37254,0.0093604161
4.37239,0.0093627312
4.37252,0.00936331
4.3727,0.0093638887
4.37264,0.0093644675
4.37248,0.0093650463
4.37242,0.0093656251
4.3725,0.0093667826
4.37248,0.0093685189
4.37238,0.0093690977
4.37221,0.0093696765
4.3723,0.0093714128
4.37251,0.0093719915
4.3722,0.0093731491
4.37226,0.0093743066
4.37221,0.0093748854
4.37236,0.0093858821
4.37226,0.009421766
4.37224,0.0094854309
4.37226,0.0094860097
4.37224,0.0094871672
4.37226,0.0094946913
4.37224,0.0095213148
4.37226,0.0095218936
4.37221,0.0095346266
4.37224,0.0095352054
4.3722,0.0095363629
4.3721,0.0095369417
4.37189,0.0095375204
4.37213,0.009538678
4.3722,0.0095392568
4.37213,0.0095427294
4.37224,0.0095433082
4.37235,0.009546202
4.37236,0.0095467808
4.37205,0.0095479383
4.37182,0.0095502534
4.37167,0.0095508322
4.37151,0.009551411
4.37145,0.0095531473
4.37226,0.0095537261
4.37196,0.0095624077
4.3722,0.0095629864
4.37208,0.0095635652
4.3721,0.009564144
4.37226,0.0095653015
4.3718,0.0095658803
4.37175,0.0095670378
